Product URL,Product Name,Product Price,Rating,Number of Reviews,Description,ASIN,Product Description,Manufacturer
http://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=cpX8q&content-id=amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d:amzn1.sym.6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_p=6705d6dc-26d1-4cee-9638-634bef10528d&pf_rd_r=Q36G5B7NHSG0D3H2JBG2&pd_rd_wg=tvI57&pd_rd_r=e59eaaf6-b564-4521-a5a1-f97df1827a12&qid=1679516163,,,,,,,,
,,,,,,,,
http://www.amazon.in/gp/help/customer/display.html?nodeId=200533820,,,,,,,,
http://www.amazon.in/b/ref=sxts_spks_0_0_5b47f725-4fa5-48ae-98f9-662935e233b4?node=21102587031&pd_rd_w=18WpN&content-id=amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4:amzn1.sym.5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_p=5b47f725-4fa5-48ae-98f9-662935e233b4&pf_rd_r=RXGJJVY9SCNATBZF0JZ9&pd_rd_wg=39tvZ&pd_rd_r=ba5a88cb-58c9-4f36-a563-2308f4e0fbfc&qid=1679516186,,,,,,,,
,,,,,,,,
http://www.amazon.in/gp/bestsellers/luggage/ref=sr_bs_0_luggage_1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=ice_ac_b_dpb,Skybags Brat Black 46 Cms Casual Backpack,669,4.1 out of 5 stars,,,,,
http://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9 out of 5 stars,,,,,
http://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M?sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D,,"1,199",4.0 out of 5 stars,,,,,
http://www.amazon.in/s/ref=sxin_16_trfob?rh=n%3A14737350031&k=bags&i=specialty-aps&srs=14737350031&pd_rd_w=rphe4&content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee:amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=RXGJJVY9SCNATBZF0JZ9&pd_rd_wg=Eyuh3&pd_rd_r=f0f0c149-00b1-4b9e-b48a-6d1ef6334002&qid=1679516186,,288,4.0 out of 5 stars,,,,,
